url,title,imdb_score,description,director,stars,year,runtime,genre,rating,metascore,gross
https://www.imdb.com/title/tt28307306/,Susuk: Kutukan Kecantikan,,"Ayu searches for a cure to save her dying sister Laras, who is a sex worker cursed by a magical amulet, while they face escalating terrors in their ancestral village.",Ginanti Rona,"Hana Malasan, Ersya Aurelia, Jourdy Pranata, Whani Darmawan",2023,,Horror,,,
https://www.imdb.com/title/tt0097942/,Mystics in Bali,5.7,A woman researches a book that takes her to the black magic cult of Leák in Bali. She meets an evil witch who promises to train her dark arts. But she is tricked and turned into a flying vampire with internal organs hanging from her neck.,H. Tjut Djalil,"Ilona Agathe Bastian, Yos Santo, Sofia W.D., W.D. Mochtar",1981,86,"Fantasy, Horror, Thriller",,,
https://www.imdb.com/title/tt22507774/,Puspa Indah Taman Hati,,"Galih, a successful solo singer, meets Marlina, a girl resembling his past love Ratna, as they navigate their feelings and past connections.",Monty Tiwa,"Prilly Latuconsina, Yesaya Abraham, Dewi Gita, Lukman Sardi",2023,,Drama,,,
https://www.imdb.com/title/tt21201212/,Tanpa Ampun,6.4,"Based on real events, four professional bank robbers and ATM machine breakers from Russia go on rampage in Bali. The Balinese police force are in hot pursuit to catch the robbers.",Muhammad Yusuf,"Verdy Bhawanta, Franki Darmawan, Daniel Immanuel Octavianus, Stevie Domminique Jollie",2023,90,"Action, Crime, Drama",17+,,
https://www.imdb.com/title/tt25967812/,Iblis dalam Darah,6.0,"Haruni screams in pain of being possessed by a devil. Besides being in pain, she also tends to hurt herself. Haruni's sister, Hanum, has glaucoma. Dr. Ahmad, who is treating Hanum, hears ...",Yannie Sukarya,"Michelle Joan, Ryaas Randa, Cut Ashifa, Soraya Rasyid",2023,95,"Horror, Mystery",13+,,
https://www.imdb.com/title/tt5923026/,Marlina the Murderer in Four Acts,6.9,"Marlina lives quietly in Sumba until one day a man named Markus and his gang try to rob her house and she kills him. Eventually, she is haunted by Markus, and her life turns in 180 degrees.",Mouly Surya,"Marsha Timothy, Egy Fedly, Tumpal Tampubolon, Yoga Pratama",2017,93,"Drama, Thriller, Western",Not Rated,77,20000
https://www.imdb.com/title/tt26749347/,Induk Gajah,8.2,"Ira, a reporter, 30 years old, is chased by her mother every year to get marriage. He was introduced to his mother's friend's son, Marsel, who happened to have a girlfriend.",Marshanda,"Tika Panggabean, Dimas Anggara, Mikha Tambayong",2023– ,47,"Comedy, Romance",,,
https://www.imdb.com/title/tt16258352/,Layangan Putus,7.7,"Layangan Putus tells the story of Aris and Kinan, a couple who have a harmonious and loving relationship. In the midst of the joy of welcoming the second baby, however, Kinan smells the infidelity of her husband.",Graciella Abigail,"Reza Rahadian, Putri Marino, Anya Geraldine",2021–2022,42,"Drama, Romance",Not Rated,,
https://www.imdb.com/title/tt1620584/,Raped by Saitan (Diperkosa Setan),4.9,,Petruska Karangan,"Cynthiara Alona, Winda Amanta, Anggun, Daffy",2010,84,Horror,,,
https://www.imdb.com/title/tt10495746/,Two Blue Stripes,7.8,"A young couple violated the boundary without knowing the consequences. They try to take responsibility for their choices and their innocence is tested when the families who really loved them knew, then forced into their chosen journey.",Gina S. Noer,"Adhisty Zara, Angga Yunanda, Cut Mini Theo, Arswendy Bening Swara",2019,113,Drama,TV-14,,
https://www.imdb.com/title/tt6506146/,The 3rd Eye,5.1,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.",Rocky Soraya,"Jessica Mila, Denny Sumargo, Citra Prima, Bianca Hello",2017,107,"Drama, Fantasy, Horror",TV-MA,,
https://www.imdb.com/title/tt0095483/,Lady Terminator,5.5,"The spirit of an ancient evil queen posesses the body of a young anthropological student, who then goes on a murderous rampage.",H. Tjut Djalil,"Barbara Anne Constable, Christopher J. Hart, Claudia Angelique Rademaker, Joseph P. McGlynn",1989,82,"Action, Drama, Fantasy",Unrated,,
https://www.imdb.com/title/tt19360804/,Mumun,5.5,"Mumun and Juned are a couple who love each other. However, Mumun dies horribly in an accident and Juned is devastated by it.",Rizal Mantovani,"Acha Septriasa, Dimas Aditya, Mandra, Volland Volt",2022,106,"Comedy, Horror",13+,,
https://www.imdb.com/title/tt12118230/,Malam Satu Suro,6.7,After a vengeful spirit is given a second chance to live a normal life her family is assaulted and she is compelled to seek revenge.,Sisworo Gautama Putra,"Suzzanna, Fendy Pradana, Nurnaningsih, Soendjoto Adibroto",1988,84,"Fantasy, Horror, Romance",,,
https://www.imdb.com/title/tt21116308/,Keramat 2: Caruban Larang,6.2,A documentary film shoot takes a dark turn when a group of friends and content creators experience a series of bizarre supernatural encounters.,Monty Tiwa,"Umay Shahab, Lutesha, Ajil Ditto, Arla Ailani",2022,94,Horror,13+,,
https://www.imdb.com/title/tt8960204/,Asih,5.1,"Puspita and Andi are very happy to have a baby. The happiness turns into a threat with the presence of Asih, who committed suicide.",Awi Suryadi,"Shareefa Daanish, Citra Kirana, Darius Sinathrya, Alex Abbad",2018,77,"Horror, Mystery, Thriller",17+,,
https://www.imdb.com/title/tt11013610/,KKN di Desa Penari,5.9,Six students who had to carry out KKN in a remote village are warned not to cross the boundary of the forbidden gate that leading to the mysterious place that may related to the figure of a beautiful dancer who began to disturb them.,Awi Suryadi,"Tissa Biani Azzahra, Adinda Thomas, Achmad Megantara, Aghniny Haque",2022,130,"Horror, Mystery, Thriller",D17+,,
https://www.imdb.com/title/tt4766568/,Halfworlds,5.9,"A parallel world of bloodthirsty creatures from South East Asian mythology has lived alongside humans for generations. They take on the appearance of humans themselves, and have been carefully concealed for centuries by a powerful family.",Arifin Putra,"Reza Rahadian, Bront Palarae, Alex Abbad",2015– ,60,"Fantasy, Horror, Mystery",,,
https://www.imdb.com/title/tt24059512/,Hubungi Agen Gue!,8.0,Four artist managers at a talent agency company in Jakarta call themselves agents who are very passionate about their work above their personal lives.,Lydia Kandou,"Donny Damara, Hannah Al Rashid, Yoga Pratama",2023– ,45,"Comedy, Drama",TV-14,,
